Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
SunPower: SPR-20000m-3-H [480V],480,46.7203,20000,20475.1,695,-6.38E-07,-3.27E-05,-0.000483516,-0.000524832,1.79,800,29.4605,380,800,10/15/2018,N
SunPower: SPR-24000m-3 [480V],480,46.6606,24060,24584.4,712,-4.29E-07,-3.59E-05,0.000150956,-0.00090032,1.79,800,34.5286,450,800,10/15/2018,N
SunPower: SPR-24000m-3-H [480V],480,46.6606,24060,24584.4,712,-4.29E-07,-3.59E-05,0.000150956,-0.00090032,1.79,800,34.5286,450,800,10/15/2018,N
SunPower: SPR-30000m-3 [480V],480,63.0627,30010,30592.4,720,-3.56E-07,-1.93E-05,-0.000329176,-0.00027571,1.22,800,42.4894,500,800,10/15/2018,N
SunPower: SPR-A380-BLK-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,01/04/2021,N
SunPower: SPR-A380-BLK-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A380-BLK-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A385-BLK-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,01/04/2021,N
SunPower: SPR-A385-BLK-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A385-BLK-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A390-BLK-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,01/04/2021,N
SunPower: SPR-A390-BLK-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A390-BLK-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A390-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,04/01/2020,N
SunPower: SPR-A390-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A390-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A395-BLK-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,01/04/2021,N
SunPower: SPR-A395-BLK-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A395-BLK-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A395-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,04/01/2020,N
SunPower: SPR-A395-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
SunPower: SPR-A395-H-AC [240V],240,1.69476,384,396.132,40.5,-4.91E-05,-0.000787873,-0.0110578,-0.0643947,0.06,43,9.78105,38,43,n/a,N
SunPower: SPR-A400-BLK-G-AC [240V],240,1.80212,349,361.641,40.5,-5.76E-05,4.52E-06,0.00855034,-0.00969625,0.019,43,8.9294,38,43,01/04/2021,N
SunPower: SPR-A400-BLK-H-AC [208V],208,1.7633,367,380.332,40.5,-6.84E-05,-0.000237151,-0.0106935,-0.0261868,0.05,43,9.39091,38,43,n/a,N
