Date,Hour,Price kWh
09/02/2022,3,0.139
09/02/2022,4,0.13685
09/02/2022,5,0.13688
09/02/2022,6,0.14
09/02/2022,7,0.14225
09/02/2022,8,0.14586
09/02/2022,9,0.15134
09/02/2022,10,0.14702
09/02/2022,11,0.1378
09/02/2022,12,0.14047
09/02/2022,13,0.14193
09/02/2022,14,0.14
09/02/2022,15,0.13781
09/02/2022,16,0.1378
09/02/2022,17,0.14
09/02/2022,18,0.14551
09/02/2022,19,0.15103
09/02/2022,20,0.16263
09/02/2022,21,0.165
09/02/2022,22,0.15867
09/02/2022,23,0.15061
09/02/2022,24,0.14347
10/02/2022,1,0.14175
10/02/2022,2,0.14088
10/02/2022,3,0.13793
10/02/2022,4,0.13782
10/02/2022,5,0.13793
10/02/2022,6,0.14069
10/02/2022,7,0.14102
10/02/2022,8,0.14673
10/02/2022,9,0.14968
10/02/2022,10,0.14728
10/02/2022,11,0.14102
10/02/2022,12,0.139
10/02/2022,13,0.1357
10/02/2022,14,0.1255
10/02/2022,15,0.12458
10/02/2022,16,0.12363
10/02/2022,17,0.13
10/02/2022,18,0.14102
10/02/2022,19,0.14844
10/02/2022,20,0.15512
10/02/2022,21,0.15993
10/02/2022,22,0.15259
10/02/2022,23,0.1511
10/02/2022,24,0.14433
11/02/2022,1,0.13944
11/02/2022,2,0.13586
11/02/2022,3,0.13118
11/02/2022,4,0.13348
11/02/2022,5,0.13216
11/02/2022,6,0.13
11/02/2022,7,0.13388
11/02/2022,8,0.13216
11/02/2022,9,0.136
11/02/2022,10,0.1351
11/02/2022,11,0.12672
11/02/2022,12,0.115
11/02/2022,13,0.11
11/02/2022,14,0.11
11/02/2022,15,0.105
11/02/2022,16,0.10336
11/02/2022,17,0.10669
11/02/2022,18,0.13586
11/02/2022,19,0.14356
11/02/2022,20,0.16001
11/02/2022,21,0.16101
11/02/2022,22,0.15558
11/02/2022,23,0.15
11/02/2022,24,0.14019
12/02/2022,1,0.14048
12/02/2022,2,0.13447
12/02/2022,3,0.13247
12/02/2022,4,0.1281
